tract,102_novel_repetition_priming,105_cognitive_test_associated,107_judgment_verb_noun,109_emotional_process_neural,10_sad_mood_happy,111_force_chronic_tbi,113_gaze_saccade_eye,114_face_ffa_process,115_stop_pre sma_coherence,116_color_interference_stroop,118_prediction_coding_natural,11_sequence_practice_day,121_perceptual_perception_conscious,125_movement_execution_imitation,12_moral_people_violations,131_risk_alcohol_risk taking,132_word_concrete_process,134_stress_reactivity_laughter,142_game_intention_partner,143_task_one_performance,144_recall_ambiguous_ambiguity,146_music_musical_rhythm,147_regulation_emotion regulation_reappraisal,148_reward_motivation_anticipation,14_speech_left_deaf,151_phonological_lexical_pseudoword,152_action_observation_mirror,153_training_pre_post,157_object_loc_image,15_language_linguistic_left,161_imagery_imagine_mi,162_experience_awareness_thought,166_voice_prosody_speaker,167_virtual_navigation_deception,168_video_gesture_communication,169_scene_ppa_image,170_wm_wm task_maintenance,172_learning_learned_associated,173_change_signal_tinnitus,174_rule_shift_dimensional,175_value_analysis_subject,176_sleep_uncertainty_quality,17_outcome_gain_loss,180_writing_drawing_style,181_attention_attended_top,183_visual_fixation_orientation,184_representation_concept_knowledge,185_acupuncture_sham_stimulation,187_spatial_shape_visuospatial,188_social_attachment_social cognition,190_suppression_muscle_voluntary,191_motor_sma_m1,192_stimuli_stimulus_process,195_familiar_recollection_unfamiliar,197_context_information_schema,198_cue_cues_cued,199_naming_generation_production,19_neural_associated_relationship,20_selection_competing_facilitation,21_image_function_brain,23_decision_choice_value,26_verbal_creativity_intelligence,27_error_dacc_correct,2_picture_valence_arousal,35_preference_sexual_bias,36_response_difference_greater,37_hand_body_part,38_encoding_memory_retrieval,39_target_search_trial,41_rating_empathy_scale,43_intensity_touch_temperature,46_food_weight_eating,47_expression_facial expression_facial,48_self_process_self referential,49_working memory_back_task,54_implicit_explicit_fatigue,56_problem_arithmetic_subtraction,59_categories_category_animal,5_motion_sts_psts,62_semantic_meaning_related,64_external_internal_identity,66_evaluation_situation_appraisal,67_feedback_negative feedback_correct,68_sentence_comprehension_syntactic,69_switch_switching_preparation,6_sound_auditory_tone,70_performance_accuracy_task,71_strategy_strategies_reasoning,72_visual_process_fusiform gyrus,75_inhibition_response inhibition_nogo,79_congruent_conflict_incongruent,7_load_difficult_demand,83_fear_threat_avoidance,85_reading_letter_orthographic,86_red_blue_green,87_control_healthy_hyperactivity,88_trait_impulsivity_aggressive,91_salience_salient_salience network,92_pleasant_taste_unpleasant,94_negative_positive_positive negative,95_pain_painful_rating,97_activity_related_increased,98_dmn_pcc_default mode,9_pitch_vocal_vocalization
anterioFrontalCC,-0.10312296477526904,0.19133072950855842,-0.027443833751153997,0.20898537535706405,0.18049352763688145,-0.12363411568431745,-0.16289123571209535,-0.08005461912831427,-0.031285618800398214,-0.08950376916742116,-0.13744976567052022,-0.22606156444292702,-0.06395470040350515,-0.23517098237600645,0.30586331602380856,0.23991238879376758,-0.08324812763390411,0.22590585687322523,0.2289752104843995,-0.15847434232007507,0.07322605790876659,-0.03361165554919838,0.2557910559366974,0.1902338925909512,-0.2291337871806996,-0.23557670133504036,-0.1918254755218599,-0.07580890876838625,-0.21795859033831766,-0.1605559135443244,-0.22338712026482624,0.21390557825452064,-0.0867663195632028,-0.06954805547667507,-0.158841922089695,-0.01825397102899925,-0.08756651816007444,-0.07371244611689622,-0.08077288311317644,0.013872447487467292,-0.07340967158566951,0.09963469380162851,0.2687667369178483,-0.02828064046850874,-0.12792738762861694,-0.20934787124100956,-0.031236045921158057,0.07243411499594139,-0.1993734292067807,0.2907463074280854,-0.18915479975706995,-0.20959153426032257,-0.21269789983319787,0.0032592512992376983,0.1617265272894724,-0.06260073886210873,-0.18836485656914967,0.3523184519024215,0.019839787887801615,-0.13134891249339115,0.27047915875516376,0.046403612315912675,0.12037179376471024,0.17663505539427696,0.13468140222750954,-0.11226177645212851,-0.19463062440962312,0.04404827895893716,-0.12590341210880007,0.11898397830263217,-0.07101272994308067,0.10305793510918868,0.04495342675724469,0.3721987178919454,-0.0733193802221263,0.08210546448971237,-0.10412142541871483,-0.10870986369034329,-0.20468439415590103,-0.06276109640162159,0.059757810688552127,0.19259105067425145,0.05962437191093519,-0.06829379678118558,-0.07461106159957787,-0.1755075498317825,-0.10427889309217382,0.014128712382937567,-0.1852992336170869,0.01573397248194547,-0.04085317500010459,-0.04787605006480942,0.1579451404649526,-0.24548079084482052,0.06610084099654327,-0.04092700969152034,0.24132427859014607,0.2288422100183877,0.04087581007438208,0.2734978174668215,0.011333288291241658,-0.060653301378548935,0.2750127787142614,-0.1654839407767338
forcepsMajor,0.03198902041315578,-0.0491496296542994,-0.02006999376640255,-0.055813832533939435,-0.027872684219749342,0.0007552569109003164,0.17747460331014586,0.13124814606545404,-0.003662430899276753,0.02309115562250147,0.032516699080981225,-0.03284195391387965,0.05278409199414927,-0.06374811659536882,-0.04914209571608671,-0.009637589695325017,0.00402736522131246,-0.08539636411801989,0.03715147646139686,0.038371045493785054,0.011872080947820943,-0.137734495901492,-0.1235302997994137,-0.057709452817887856,-0.08215791305031334,-0.04056073669599522,0.021326069753297486,-0.037921233484334266,0.16101532482743666,-0.10650785169612131,-0.04573370187039425,-0.04210232338439114,-0.11829544021897152,0.2805315914135467,0.01619866846309088,0.2091697982011686,-0.017015334091316687,-0.03863480030710697,-0.018280536704369268,0.055144139013737575,0.022187908817171854,-0.0511354471376332,-0.0198756994387095,0.004647234817636803,0.16497539181114482,0.28798438891099065,0.024739860527110566,-0.07889476396214555,0.18135022482842142,-0.029768880075318256,-0.04285214484707923,-0.08665885615929066,0.12088714899666818,0.008826423880500532,0.00793289079649348,0.15227646228998254,0.008309409301455494,0.038854666203481325,-0.0817462287059063,-0.024380974267428905,0.011381610934084286,0.027608478151804217,-0.10987341962509897,0.013753591199198457,0.0523313750097257,0.03217570674957198,0.039675060569218525,0.0982502823993522,0.08847006996117879,-0.12597576267032695,-0.17461675923558675,0.0040075815030068416,0.03375300287756808,-0.014868901788426755,-0.04562624272061348,-0.07389776762070611,0.018453593886793327,0.12772151464362452,0.19830198498773433,-0.04049489857686191,0.03896152250922311,0.04716321697594122,0.002279889979488287,-0.07737083696124414,0.015573028425103972,-0.06025080029501191,0.047724349530583306,0.054124683678672146,0.2929575301142236,-0.07514713331956001,-0.06064395117557535,0.04803900901663395,-0.014049076877562013,0.08165391052732042,0.0071276193682566925,-0.003298357973220605,0.03775196409792155,0.05303223471823379,-0.1204866248735733,-0.0728604339419662,-0.19262918858248007,0.02439705027118994,0.04279040630345655,-0.11338724499648475
forcepsMinor,-0.092089276585955,0.17243580854966248,-0.05978652126781236,0.13449843133130757,0.15583174222762117,-0.08289201538811115,-0.1470974973898175,-0.07956255912220118,-0.05736197225962807,-0.10059498027256064,-0.10335651690212287,-0.16089388902951107,-0.06399554758801831,-0.18175330732646838,0.2542663409441918,0.23330940222727434,-0.08368289159784834,0.1984051762574441,0.26410757710832855,-0.09270115277499867,0.08927555652321353,0.0147427865611767,0.25649821782512955,0.1163338302756467,-0.18363770677674332,-0.2048669512800773,-0.16446477040915297,-0.07053997595712515,-0.17049074896669325,-0.12967367711514835,-0.1895019088761955,0.1525185735455675,-0.06678598680832303,-0.008558094018813784,-0.14300030541662861,-0.015278263460955226,-0.03784222568939227,-0.010555750093539986,-0.0621254895982025,0.06411554033945506,-0.06654064386067621,0.11059637005310734,0.1507954586029222,-0.07019633419997871,-0.09225293509324219,-0.18378253383880153,-0.02136828922151396,0.0413537998648307,-0.14986822501608302,0.2171930102866522,-0.1548822434913074,-0.1752037662731844,-0.16647584294226403,0.01028396826422531,0.18955523627104046,-0.07890298650504705,-0.14245805128266778,0.2821072245072162,0.02064232624892284,-0.1341443699013238,0.21666959746210707,0.14188022643875045,0.05007561271109674,0.11397350176028127,0.09794147503892717,-0.07522039600978846,-0.15963404567221276,0.07517809279065099,-0.10872051471679697,0.07431143243492304,-0.09392688464323737,0.10898197946472808,0.008488443092852169,0.28889572427814253,0.008539842187407989,0.11072994224910339,-0.07388681324000354,-0.11973195186152066,-0.16424456085566086,-0.08699554363941772,0.09702433972393303,0.1568571990001196,0.017829538467166024,-0.07568352619240018,-0.01813190255713459,-0.13827069405074138,-0.04818845493724381,0.014598412389974733,-0.14264289269760877,0.01191790204283751,-0.04279203171135261,-0.02713646622634239,0.08337827289129703,-0.2243611292349199,0.10824428003514179,0.048153312483003766,0.17908281440100438,0.13038717952610476,0.06597631641996832,0.17861131351911075,0.0031656642587908055,-0.042155971907195985,0.20273474493962929,-0.1487215489881882
leftAnterioFrontoCerebellar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
leftArc,0.13036906046364213,-0.06800609646682428,0.3952479135853069,-0.04291762994430202,-0.07562568802397207,-0.1354893307752503,-0.10321475566636311,-0.023145813065852745,-0.047232615917410896,0.1189517242113023,0.0433771091729792,-0.002364488409518178,0.015082106522267115,-0.013798043174324448,-0.0414321555369484,-0.12433372376266036,0.37192737049005364,-0.06664117979125447,-0.1634421677284047,0.1555451199770206,0.060226892014872024,0.020425412510848694,0.09818100217788439,-0.14024467992296163,0.2575926692267001,0.38080798102897073,0.08528840506195176,-0.046169708811856496,0.021938662281939775,0.4233406277578652,-0.007841879150289067,-0.029254604967133536,0.08526727575210312,-0.11102659683522467,0.09421829766760831,-0.04613682900040699,0.046212504057489896,0.09465087533796734,-0.12346154706902213,0.08414475500569188,-0.13441841524674708,-0.16218899606066098,-0.12921231913325892,0.006086331994997963,-0.08901230080961559,-0.14735916259636408,0.13462706051703255,-0.12123999262728904,-0.06609071664562105,-0.08429535635052494,-0.09884511392673337,-0.032462760236195105,-0.04252066303436729,0.0564061834399102,0.06075447894059386,-0.0717018393265155,0.37090880487052313,-0.10719453502607743,0.22733317223128727,-0.06004608494628152,-0.10583877107612039,0.13202796888870463,-0.07918218102664856,-0.1039711579169512,-0.1927428185915845,-0.10912792477502287,-0.08880902674914222,0.154145071637715,-0.100908351077272,-0.018972409714078053,-0.05111437702229143,-0.14367818684265696,-0.10114809295711352,-0.03831624055909349,0.10141453664020839,0.04529399141540135,0.044217375497523484,0.01478776300192631,-0.04185630471414581,0.37234060338837655,-0.030890776406042177,0.016791779966677,-0.083394283649226,0.3555105652267812,0.09623009233251889,0.06651315943039755,-0.02487884521964141,0.10606033617021932,0.026648539762853363,-0.05794948940989167,0.06425765707796174,0.09279623832802601,-0.141268502979471,0.3172168095538264,0.005946813986509919,0.07877660343707561,-0.15924852712666496,-0.09824058057984787,0.022533756040276305,-0.030560631845588472,-0.09516268949246003,0.01678457469835797,-0.16557510435102038,0.06863163550594394
leftAslant,-0.016677538491505745,-0.09971479254175453,0.251174701781663,-0.004800811198764541,-0.06944037171880967,-0.0028646211942917987,-0.07293038962131333,-0.061877211753775876,0.11427129925857514,0.03887869080478966,0.0007241837536632156,0.0201411788675658,-0.0770277579662585,0.0015631746072881558,0.0015880710427566137,-0.0438447096481982,0.18468887198116726,-0.013373067091422759,-0.04587641908514291,0.10872359700119397,0.018547357998326422,0.03272629401989958,0.20034877242536156,-0.06262324840105185,0.12201766984506217,0.16672948243387115,0.06264204924731807,-0.011302223778703822,-0.09012188201303989,0.21408817458219018,0.0892166402150668,0.10676323021229553,0.051603636093204404,0.012375034031312038,0.003186277325156463,-0.06846914769096396,0.017400445692820135,0.035040849165933974,-0.1160710993911866,0.07164322894391535,-0.16702971870756023,-0.08899677831821189,-0.07494244973064419,0.056614268562251,-0.0743372883825981,-0.12009812974003364,-0.02681009643452255,-0.03889218233608217,-0.03030527593249713,0.01370320891861345,-0.03891341623277606,0.036587277952740895,-0.08151144300475338,0.010957204526306682,0.012196252495943846,-0.02091289542984444,0.18330929901953857,0.0005800577056432352,0.0996157381830052,0.049522989000053884,-0.032259830745506916,0.12403402513370257,0.10606888506298517,-0.03482782107510698,-0.05180728195167665,-0.05919869452491138,-0.10295861550514797,0.05996209801125819,-0.10495341645437758,0.1078128740718139,-0.01924809633023699,-0.09816391692034941,-0.07627223163358515,0.07243158887774588,0.060340549365802035,0.10778415048348332,0.038235942191812554,-0.030809960463184852,-0.09432594403795372,0.1887818086621635,0.026357285451331123,0.08029821713546882,-0.012966459821734465,0.19782359602163563,0.0964331336814626,-0.007187239603120195,0.04351713031781953,0.17877644727916805,-0.07032925004096763,0.03393028360614281,0.07944059589765746,0.04086840477838698,-0.06651134137377279,0.13029969818684842,0.09986714611951071,0.00650361810543059,-0.07772838934804599,-0.04777843440661097,-0.012142797530452703,0.028221891018114228,0.003963581776073518,-0.0027419521303932415,-0.0900957378413124,0.017724842526985626
leftCST,-0.07287800979451932,0.01054449324734993,-0.0705931235930864,-0.1750375456537358,-0.04664926897994298,0.33106337531328034,0.049244781028640355,-0.10069892834349661,0.030817176508437013,0.04446007842081004,0.003097687245289246,0.15878009682898064,-0.07682282462208484,0.2494275370102521,-0.09930049676174131,-0.02131406620519036,-0.11172207586392346,-0.03689947316648019,-0.06779133046603913,-0.05198620923261529,-0.08643744867118255,-0.0021240091465738347,-0.08960600652089702,-0.07941079248863682,-0.04457220926166053,-0.11141965980675261,0.13449091816375597,0.20125701322450987,-0.007877529409490073,-0.11620084980800273,0.29465060496587303,-0.02452219491537119,-0.07708501875001475,-0.09497094343170168,-0.04193023016578791,-0.02808489724002041,-0.07772614427894542,-0.012045889887801996,0.23417554524566334,-0.08897457572471747,0.165952000012773,0.030552735760013,-0.08292796042076046,0.2177749355263487,-0.09829435627345481,0.06912379960748916,-0.0814578387124,0.17611473027356983,0.0011507299280725974,-0.0894713638268541,0.26428468258148863,0.28407730083022226,-0.03789026260773826,-0.1357915716083702,0.03597709859000486,-0.04377143560922594,0.0023329268523004766,-0.1003896001806569,-0.04602789988187176,0.03269774141517743,-0.07915889042102382,-0.0930765469966227,-0.06233958524395222,-0.14511010432267538,-0.09081653445700774,-0.014787412703922143,0.26118553583516735,-0.1622713816809533,0.05469309428015185,-0.08446252477298281,0.08217662858302542,-0.022467028966083904,-0.049512177448002265,-0.09289267955093884,-0.07971039719249348,-0.04172026114562534,-0.11484240453745083,-0.11875624949318873,-0.004077305641548973,-0.1009209967690388,-0.0980773591101349,-0.12410853316433275,0.008185991102103916,-0.10511937527680265,-0.046489372680547675,-0.063113788331817,-0.014239169323775993,-0.09698518780079016,-0.04940152605440065,-0.016910795967034025,-0.007559259280475626,-0.12901057512335187,-0.09777267327968103,-0.10536382189360029,-0.07940922605192796,0.015653899293671284,-0.04682433909323724,-0.08925932063376281,0.010057408938258263,-0.08497065522917936,0.03311963763095994,0.012367861317745926,-0.029896041449265436,-0.012717278649742723
leftContraMotorCerebellar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
leftIFOF,-0.02382655192212863,0.0023522494996074234,-0.016217750958902762,0.05517946674007373,-0.005272527084390455,-0.039645778548522484,-0.043517230345453954,-0.002647734437054315,0.03795718618032582,-0.023981699126737744,-0.009300180082435668,-0.037744402406341714,0.03336492158243313,-0.0498834154924157,0.03191407000026198,0.0821262323107543,0.0105137617464249,0.036537202890736274,0.11040271790340773,-0.03561088855135002,-0.008474100162868033,-0.02325921243778306,0.0474836606195839,0.09997155021571369,-0.039840285412712444,-0.014179356930577473,-0.03493557724237433,-0.04188518879834207,-0.053303722925037454,1.745120569971523e-05,-0.041439687492124164,0.0030317506130090864,0.0045548648127368176,-0.0044048223840800725,-0.016245626766169006,-0.023234661132200064,0.006170173762957515,-0.0014854131887062176,-0.0679192419232486,-0.006036524359770688,-0.07992510184503125,-0.002299837871930711,0.10933037932252289,0.009057192823103369,-0.059755050981415064,-0.05610055412746227,-0.007619455384027227,-0.0344158380024735,-0.029153648485026596,0.03966191594796304,-0.018672432350961565,-0.050473377002422444,-0.008769341964056522,-0.013881926350405378,-0.0034253302431132633,-0.012642760883678057,-0.014291844034506476,0.06946663370428253,-0.0006377411928818379,0.01016745736775057,0.0828395756935493,-0.03552310095134868,0.08648625531783728,0.08638399820232011,0.03896962828000708,0.021552542077216325,-0.038849373673800855,0.016011867455225936,-0.02900383924248525,0.06311366050922715,0.02671133910268201,0.06890550010064812,0.03861806979486302,0.020973321561671577,0.007600881320757196,-0.04491873358294061,-0.016608089109343804,0.0039023217303876803,-0.05294473756028336,0.0018153752236020804,0.007386861896865849,0.01028399053718192,0.056136941701687725,-0.020559131517684875,-0.014675110300321674,-0.03518848079547777,-0.028816449447746095,-0.002343206378064984,-0.02678190897106538,0.052691406992360516,0.0061293254112976085,0.007425875924729066,0.07378380248011279,-0.028966950831353092,0.024746659291823736,-0.0466311487861517,0.07711229309231088,0.06894580178754091,0.06410398111198079,0.03139101817661349,0.024532553420932662,-0.004948058219809107,-0.03944576105594295,-0.025814121778826984
leftILF,0.07550356304729243,-0.05930883881879356,0.0641289761689547,0.04558084472665209,0.01645276060702815,-0.08604241335305346,0.1773305927942514,0.19432504754568414,-0.0369343587782288,0.0467888860629056,0.04246004333248536,-0.06348250057250783,0.03889250644384369,-0.09692388806967983,-0.0003865765975143775,-0.10188184090784154,0.1394864617088047,-0.11304051231238216,-0.050330822132055995,0.0034510042579051154,-0.03485141049148749,-0.05176870497394926,-0.0813374134512524,-0.08843497268803203,0.021144814560695578,0.09481000590324618,0.022025666141408724,-0.05056209073874922,0.19292328568478462,0.023957683044122453,-0.10267420249233569,-0.09383783303747094,0.012240265659553058,0.045882115660433605,0.09946099985562791,0.11405327357938773,-0.04547045147559054,-0.10275033541264472,-0.07656964660090815,0.00022612213095793112,0.00540529831753602,-0.034437476194068,-0.11682852845437813,0.0785722296478231,0.05321263709938837,0.23538369701707776,0.21663150624816577,-0.05945644015633248,0.0937930438157324,0.052343827401392366,-0.07073434273804584,-0.08977035232892215,0.13004011119462464,-0.007312922765957381,-0.06708354583770086,0.06842869340478039,0.05419612511957437,0.0013933271840050156,-0.061010715269871556,-0.025076246679947272,-0.07112864580856153,0.07887059297848516,-0.1636415416311264,0.10684173096693464,0.10011465953847093,0.004219139201412443,0.08428358082770786,0.03342240962490272,0.03558370377824313,-0.026916252867908223,-0.19770777239508436,0.010454580252708559,0.0963560822837605,-0.027802824910943574,-0.11281336130854702,-0.04169285476463427,0.043363068961921866,0.18616080474380134,0.24215078438299895,0.1495101836109121,0.09590275804412711,0.08135511564175266,-0.10109800750759654,0.09050076209161732,-0.05507071573992964,-0.008075074240409314,0.009035996596746091,-0.05378816158889149,0.2920751047279807,-0.0932595741450344,-0.0852811356137242,-0.021483250298659284,-0.04952070286384032,0.19379992598230183,0.005510839133518478,-0.06161111553442675,-0.0484147000018547,0.0132841881481707,-0.11590523552335397,-0.07924898885409422,-0.19758047030742265,-0.03306372167980549,-0.045173762531690136,-0.054743191464805746
