tract,102_novel_repetition_priming,105_cognitive_test_associated,107_judgment_verb_noun,109_emotional_process_neural,10_sad_mood_happy,111_force_chronic_tbi,113_gaze_saccade_eye,114_face_ffa_process,115_stop_pre sma_coherence,116_color_interference_stroop,118_prediction_coding_natural,11_sequence_practice_day,121_perceptual_perception_conscious,125_movement_execution_imitation,12_moral_people_violations,131_risk_alcohol_risk taking,132_word_concrete_process,134_stress_reactivity_laughter,142_game_intention_partner,143_task_one_performance,144_recall_ambiguous_ambiguity,146_music_musical_rhythm,147_regulation_emotion regulation_reappraisal,148_reward_motivation_anticipation,14_speech_left_deaf,151_phonological_lexical_pseudoword,152_action_observation_mirror,153_training_pre_post,157_object_loc_image,15_language_linguistic_left,161_imagery_imagine_mi,162_experience_awareness_thought,166_voice_prosody_speaker,167_virtual_navigation_deception,168_video_gesture_communication,169_scene_ppa_image,170_wm_wm task_maintenance,172_learning_learned_associated,173_change_signal_tinnitus,174_rule_shift_dimensional,175_value_analysis_subject,176_sleep_uncertainty_quality,17_outcome_gain_loss,180_writing_drawing_style,181_attention_attended_top,183_visual_fixation_orientation,184_representation_concept_knowledge,185_acupuncture_sham_stimulation,187_spatial_shape_visuospatial,188_social_attachment_social cognition,190_suppression_muscle_voluntary,191_motor_sma_m1,192_stimuli_stimulus_process,195_familiar_recollection_unfamiliar,197_context_information_schema,198_cue_cues_cued,199_naming_generation_production,19_neural_associated_relationship,20_selection_competing_facilitation,21_image_function_brain,23_decision_choice_value,26_verbal_creativity_intelligence,27_error_dacc_correct,2_picture_valence_arousal,35_preference_sexual_bias,36_response_difference_greater,37_hand_body_part,38_encoding_memory_retrieval,39_target_search_trial,41_rating_empathy_scale,43_intensity_touch_temperature,46_food_weight_eating,47_expression_facial expression_facial,48_self_process_self referential,49_working memory_back_task,54_implicit_explicit_fatigue,56_problem_arithmetic_subtraction,59_categories_category_animal,5_motion_sts_psts,62_semantic_meaning_related,64_external_internal_identity,66_evaluation_situation_appraisal,67_feedback_negative feedback_correct,68_sentence_comprehension_syntactic,69_switch_switching_preparation,6_sound_auditory_tone,70_performance_accuracy_task,71_strategy_strategies_reasoning,72_visual_process_fusiform gyrus,75_inhibition_response inhibition_nogo,79_congruent_conflict_incongruent,7_load_difficult_demand,83_fear_threat_avoidance,85_reading_letter_orthographic,86_red_blue_green,87_control_healthy_hyperactivity,88_trait_impulsivity_aggressive,91_salience_salient_salience network,92_pleasant_taste_unpleasant,94_negative_positive_positive negative,95_pain_painful_rating,97_activity_related_increased,98_dmn_pcc_default mode,9_pitch_vocal_vocalization
anterioFrontalCC,-0.1322200582810379,0.2371178605875279,-0.05230542597476468,0.19208973124922496,0.18349778359150062,-0.14599860028340209,-0.1775615282076075,-0.10273637879040545,-0.027284024361811588,-0.07641756261043926,-0.13050675145226687,-0.2453072817824579,-0.08011913436556857,-0.28396683707468995,0.2899378506978095,0.32090392234957726,-0.11114653371193654,0.27374257565353777,0.2586671069758571,-0.1648906141106909,0.07931133786158048,-0.03521393686973897,0.30763422511992916,0.2474013557384415,-0.2753840097102136,-0.26026925421893937,-0.24506372979907967,-0.12063115565986134,-0.2645794432093227,-0.1897062737446223,-0.2586931203738694,0.21266051885227744,-0.11725889700930825,-0.0802843733412316,-0.2209332441972622,-0.02967570345847471,-0.06943132433344627,-0.06377254779221943,-0.12118914152919931,0.04116257362418919,-0.09245827982844847,0.12582420479184223,0.30531512400731947,-0.052254320754228485,-0.145740803308982,-0.25297208001970195,-0.050196376422281974,0.07378808312259959,-0.2274241778536631,0.28550805105669336,-0.22019326440707795,-0.24678785160939298,-0.2683937919326072,-0.01149717738267332,0.21399931248444162,-0.08255586922219138,-0.20762470116783402,0.4064302475836659,0.01561340146815646,-0.17867345975680496,0.33056513817391275,0.07578225013346172,0.17144488725283788,0.1842109280584408,0.15432506409657817,-0.10269332951508015,-0.2508895307125429,0.06117429828889133,-0.14947224909777754,0.11232301408296251,-0.0652204124813924,0.13961759628124273,0.04208049033753878,0.38306674425747034,-0.04207871972407653,0.06723396810502535,-0.12814348515181403,-0.14419543742289223,-0.2566311588539603,-0.07701801125677736,0.024560856394680173,0.1689310439852924,0.0747216702369659,-0.0914361863097894,-0.05627393864191551,-0.21267569789416926,-0.08882457125728276,-0.012042536409491251,-0.21992989723346099,0.05278188668822528,-0.030513271641523846,-0.036437901215938234,0.17295474046002313,-0.2796786025980467,0.10473296339466205,0.00020143014826208336,0.29031110811130667,0.2174695934351475,0.07237309600720129,0.2979490372190927,0.021156090634215696,-0.04213104111310237,0.27549302109939117,-0.1999158930084812
forcepsMajor,0.09490308852670387,-0.13444630702170746,-0.0014114956377176996,-0.02506681191874863,-0.033788727301396655,-0.04893320815806309,0.30178284761718893,0.32787461803100326,0.024794956577565773,0.0930982810868308,0.09681757186450966,-0.05281985112742068,0.1529956699824274,-0.12064675310693468,-0.07495098742531794,-0.029541275458566718,0.09509088567162226,-0.1640853421795097,-0.005403543219384938,0.09296755205118254,-0.003717267800731742,-0.2208342254721648,-0.1887486388830489,-0.03052580179823902,-0.1195473730544194,0.006965495324016651,0.040587202352615516,-0.06945579142537751,0.31786486253834384,-0.11414206940161412,-0.09613474551706719,-0.11374905361309762,-0.16527563582641838,0.31544856754060624,0.09386071030521932,0.3001864767529999,-0.013893271252623981,-0.08607880188924935,-0.0650484652617443,0.11820872731999073,-0.002132630180357458,-0.04967169449761706,-0.037864566547404076,0.045574688788292794,0.21563211119076392,0.43501508549110063,0.09694332574051868,-0.15975940395607283,0.24345030560210776,-0.05321189359897352,-0.07575420327156797,-0.14091739370674258,0.2580143860973395,0.039493343578965764,-0.04247908302687244,0.2453042618721534,0.03736469554100951,0.006520043506351622,-0.09797053361186903,0.03877625588320714,-0.005776370988009582,0.06279679695231608,-0.1743196755669239,0.09588810144586316,0.13594780049679714,0.1498972686994767,0.1317114784524092,0.12989203803166768,0.14873611906213313,-0.16085202702133777,-0.2897736232219216,-0.014735609019938012,0.10219523438641803,-0.02896715786872823,-0.09270655043825425,-0.11476933958742554,0.08346384101462755,0.26140149560139614,0.32333626931843834,-0.0011239959491038316,0.07513887003047151,0.02739639774754028,-0.0038839430793977062,-0.07737777519890385,0.024745171740757688,-0.1248608488358834,0.06852094890698558,0.05447163342735398,0.5360538588619815,-0.11806028456328486,-0.052693061861692966,0.06993436823864214,-0.003272972143277263,0.22869315597074558,-0.07029775429642963,-0.02641901615393486,-0.022292122315150004,0.03867890083955203,-0.21429457273168603,-0.07876525239893767,-0.3207872055040445,0.05154175134340272,-0.001916731594333151,-0.1736413091885344
forcepsMinor,-0.11669361583253998,0.19825508418982118,-0.06858865846704662,0.1338512586804357,0.17059216525639884,-0.10178198199747356,-0.16779964386326437,-0.09251297209734337,-0.05178228856260151,-0.0932697793661477,-0.10955262438371016,-0.18149644592241831,-0.06722652249290995,-0.2051585882553297,0.267556371231669,0.2635851213698439,-0.09561723802129686,0.218538686578819,0.27410833495943654,-0.1051082418652319,0.0970677148834242,0.0035548808714752924,0.28547456402839083,0.14558528011393276,-0.20669210326262072,-0.21793567033380176,-0.1900634665148322,-0.08772970532574666,-0.19713757505193397,-0.14619963106269462,-0.20769051452847068,0.15984022279163243,-0.07625258440651433,-0.017843131936909184,-0.1706969273699223,-0.029212855678952397,-0.0455528076220367,-0.013450665744515226,-0.08529565471034777,0.06901531026284803,-0.07313804466680361,0.11544621740913319,0.18737946272797668,-0.08751572347706438,-0.10343590010563833,-0.20786719487682923,-0.03432190395854127,0.04814970502486226,-0.16919324923059006,0.22281239618143053,-0.16821921215592273,-0.19515283736120606,-0.19519848649649324,0.008023144936340805,0.20082443920496246,-0.08008466164633249,-0.16425545784666756,0.31935273100596445,0.02474102888722485,-0.1398806743058228,0.25318622810739555,0.1428294563023139,0.07488286596657631,0.11766598143825047,0.11237275304401408,-0.07834825706964814,-0.18622246406521017,0.07126963970629631,-0.1213403955862196,0.06300027960317355,-0.08759325802137678,0.12030931428471472,0.009019002721142685,0.3075205819324306,0.009939209894416167,0.11236397685647675,-0.08248246426745681,-0.13059189770280552,-0.18781392438696146,-0.08772038686199873,0.0828487169020742,0.1534067132560557,0.039435166952726614,-0.08242950062609274,-0.017540554916592427,-0.1552580336237356,-0.04502766386753143,0.01900238318945389,-0.16370332086013462,0.03727140271435589,-0.03938932970651649,-0.02602976278601566,0.11518585066619373,-0.24254702839171396,0.12232964944787722,0.057623684822519984,0.20317717288774287,0.1417833280276975,0.08478638416394293,0.20217487268906198,0.00806616550531861,-0.045701658208688475,0.21565429595685018,-0.1651451750773422
leftAnterioFrontoCerebellar,-0.043899457535977564,-0.014028107603050054,0.06289094895991403,-0.030167050565440286,-0.014480417060611732,0.05261837217638201,0.0025367547557708175,-0.03130185584874093,0.054882126972846126,-0.00673746935890122,0.024710573606094712,0.007458105413627059,-0.009655950649089083,0.022447785636578864,-0.00587774373822992,-0.04556127801225552,0.014391070641871563,0.015334503601596442,-0.0064853091625232655,0.015728050956340715,-0.03147323248374517,0.022583624629379358,0.06452922734843179,-0.0141503015837471,0.04227089596928794,0.023003093145375134,0.04881332542202932,0.02317623820484878,-0.02695847487092361,0.03503008794899384,0.07359729827499559,0.06010865960050274,0.011354891319471249,0.017496110970963385,0.036029375762375145,-0.014707457296223274,0.01382343327098535,-0.03862737593443264,-0.05007166742469096,0.048272619196383384,-0.05092553296033358,-0.024598143856245338,-0.03608019224270091,0.0010730674665761848,-0.0004364193083929512,-0.012021264067578682,-0.026399225359728745,-0.015917280680372944,-0.004234051331161562,-0.0037879384345318387,0.011237931216549858,0.04966900654981544,-0.02913215497949834,-0.015719404671253462,-0.013417014322818844,0.04784279901269728,0.07810932376603266,0.004322619190604421,0.0017021520356890292,7.400077095173523e-05,-0.012454648156490887,0.0669025752671376,0.024164708951327028,-0.003751519832340688,-0.005418596585027106,-0.04545857395225431,-0.009623310375390572,-0.010534979417280084,-0.03388941092470722,0.02638395524381212,-0.013225391999747363,-0.027023315142675877,-0.03154850437743177,0.02080181883453183,0.005297943039823919,0.04302148600343293,-0.0011567257264979169,-0.0411010747263905,-0.014143600315299779,0.011536156312441858,0.06037572652252604,0.06772180322293592,-0.022568522120352142,0.055907163447068496,0.04494190594505379,0.0029964868844757843,-0.00948893086950386,0.01671880869037845,-0.027908067644309472,0.005749784356536374,0.005309231300121233,-0.016472352374465652,-0.02768496439119568,0.003256238932034137,0.058981424939436325,0.027604388565571344,-0.000883135554293905,-0.03621659974511599,-0.0023311655628227594,0.00436111968120568,-0.014575888657800401,-0.04974379047916808,-0.009559151241051996,0.010500651309869474
leftArc,0.12169861057322075,-0.04639326011665904,0.38686098192565166,-0.013579449449274313,-0.08368357175316912,-0.12123843241073042,-0.14016008936642352,-0.012405575393521238,-0.046181223805658096,0.10303679489090295,0.05409661835488678,-0.011091338170856736,-0.0015451150360109162,-0.04056371743364847,-0.04991129463284702,-0.13247070701524383,0.40550226482715246,-0.0656414878109138,-0.15096041296247315,0.12413105729345483,0.06791494463043411,0.02192207288200261,0.12171968017071984,-0.1201594630376723,0.266522654577912,0.4086219715479214,0.052579020544846845,-0.07783936135919474,0.022202204736249582,0.4249493413075399,-0.030922263396352095,-0.0041963750581102115,0.11175426990820687,-0.14045949636556876,0.03776227649874358,-0.0357411190143983,0.029866382189583103,0.04623259785475196,-0.13661213441866546,0.07582322807721342,-0.14429625291468956,-0.12110469727170585,-0.12331883622694219,0.006060883226728209,-0.11089464838409356,-0.18480642991247676,0.20239316147296235,-0.12207599625323248,-0.08230723768864372,-0.06905945272676642,-0.10624341006863093,-0.04750634367468799,-0.036942807528054684,0.0730581346515825,0.055714776740202775,-0.10628662087721719,0.4048965599085113,-0.08247120781979692,0.21618472737632766,-0.05559874582033307,-0.11846545832040686,0.12377814254627799,-0.08540676973286483,-0.05339013904593632,-0.1921879339956515,-0.07622799642181344,-0.09646423732572836,0.13977697372204395,-0.11052096320617692,0.01363868017441837,-0.012443612121293485,-0.07821324282617578,-0.06542463337429841,-0.043464213555984337,0.07997232247360975,0.024450044619251047,0.03203007760680095,0.037509271640890525,-0.06400882863372981,0.4078902921223599,0.029926423526406874,0.025014246416917497,-0.10700403292563941,0.3745390989264402,0.07838553431748234,0.05433248521852994,-0.07085777386125544,0.08829122176551428,0.02570677202327335,-0.07403942211991366,0.06065926654152695,0.05680055939633379,-0.09261183361324732,0.317111059835702,0.05429245685909323,0.0997824297937172,-0.1760476043670945,-0.08063539565485608,0.10618283825458409,-0.010338668511675923,-0.05032567356243034,-0.029999677042430502,-0.18350051554118002,0.06546968208205471
leftAslant,-0.020396577828248715,-0.11806794330152189,0.26089549145700064,-0.012170934328769428,-0.07589519127431518,0.0036474290168125928,-0.06881364335151216,-0.07839583845024516,0.13092926562400659,0.06578412351450473,0.005019111066657775,0.04939141544310368,-0.09520376808975842,0.015787643883271824,-0.0032578632925172406,-0.035631394976525586,0.19083155220292872,-0.02551621689404777,-0.05268895087123275,0.13034539536275014,0.022378538201639812,0.040251352519471664,0.2074320998431286,-0.05991163354939638,0.12992481022011773,0.1829245440470005,0.07014256718142338,-0.006548075606232677,-0.09300511921331978,0.225110660482877,0.10973802338653757,0.11419571401055145,0.050686983701502465,-0.00333735860573243,-0.003296582146602832,-0.08113639664651351,0.018736480731812822,0.04420915148110811,-0.11984148039499558,0.07451763073876579,-0.18227641236547357,-0.08547547408597772,-0.07775242870104637,0.07005969004698788,-0.08055253503145454,-0.12925735166925376,-0.041984209776587345,-0.04495178227009598,-0.03512116148414731,0.003430077548919354,-0.02473579057839138,0.049329619472688824,-0.09480437977315476,0.013359216652270647,0.015020160430896625,-0.03238555751110004,0.1969471085915801,-0.014320774913397269,0.1254623179726516,0.07776645783366529,-0.02432247973803906,0.09767654245466773,0.12760792679086858,-0.03973603541893869,-0.056503114621236104,-0.05384182229042424,-0.11120051258808115,0.053770557477656016,-0.09700493151330156,0.09757374155778112,-0.010208294167712507,-0.10706506079665574,-0.08942604097344276,0.07128244981376163,0.0647676777973097,0.10982789105060417,0.0350290148473903,-0.034647415823527004,-0.11133232405223828,0.19624964746980464,0.027757148670704244,0.06554555141704763,0.0001727024262819137,0.19765898764181547,0.10841974601971233,-0.014452711342807133,0.04912981120966206,0.19069882966720902,-0.07744443446384669,0.040223109635717166,0.09773273191801067,0.04881977987235122,-0.05903571925464163,0.13554193864509378,0.10111011862115275,-0.0048071526284670565,-0.0860099941990013,-0.05868278719086612,-0.007225695187083791,0.01885138242689668,0.022815356866299492,0.015126101996302268,-0.10815539237045285,0.028078320432946714
leftCST,-0.104999627839686,-0.05255301023272679,-0.06993947256737104,-0.23530494632272952,-0.06898057245998714,0.41845965502700194,0.0933803018814545,-0.144586160027726,0.06652229428159818,0.045315705693418994,0.06496365810292526,0.2524785697218933,-0.07127952528181314,0.33380348392510373,-0.12570200269589998,-0.06335849738291699,-0.09653430114266118,-0.07412682574737967,-0.0895954740832229,-0.01815732035877819,-0.1312611259721373,0.019179347498996174,-0.14857706924900027,-0.10357383267196792,0.005212900753652513,-0.0851598769471369,0.1985846047325021,0.24869059062354332,0.009783884994447586,-0.10640879671743998,0.36763309221219365,-0.05265538641277392,-0.10735041474749744,-0.13288843420292273,-0.024601702845831463,-0.05238055232840816,-0.06896918590200783,-0.003512877595231043,0.25469187459969667,-0.11267237451122093,0.21497553955061866,0.060251579102108654,-0.13105442264425618,0.28872726859036313,-0.09152356421716408,0.1073935071945939,-0.0828313455421276,0.15498189641773435,0.027593779238869295,-0.1383310149932546,0.2692302845554059,0.3789705690297506,-0.0503561999887256,-0.16993858003258064,0.03141210465465092,-0.052204846096577426,0.016907515401376857,-0.18812994527819454,-0.05735942341424738,0.07712367108756889,-0.12682149663484993,-0.13589169205414103,-0.06431568165633976,-0.2139464534536274,-0.12957258092541932,-0.0388900910385186,0.302667787484283,-0.20464654739695923,0.07141576249295187,-0.11946364650757045,0.10607000447985913,-0.053603772684327776,-0.08792157723198266,-0.1461404636093368,-0.06822291293587082,0.02163534083997974,-0.10908368008003076,-0.14281068029241925,0.0020660948530626722,-0.10886935858297825,-0.10091862470694066,-0.1572519930730316,0.0096805947463459,-0.10691637704904428,-0.03863452304367861,-0.052777633131115,0.019746548038376558,-0.09364057426068802,-0.048388893997157886,-0.004458365035172922,-0.012077834683164647,-0.11877295348302959,-0.12388040280680689,-0.08305560385618832,-0.07260266035902992,0.03555042080564214,-0.07510819045078442,-0.09843265087047182,0.026704555769031052,-0.1443488012199339,0.0411231677823847,0.027366447168303477,-0.07492682602729192,0.036175261831905454
leftContraMotorCerebellar,-0.024047675421281656,0.005520117523938864,-0.024343246706600468,-0.03294402782553802,0.0020142415867323163,0.07729040872590737,0.02637246925340382,-0.02212812187217901,0.027048900843551358,0.012703528468389706,-0.01560579918491988,0.04984501730053302,-0.030236335326719443,0.06161710796474352,-0.008211676139511714,-0.0032356016191560206,-0.023631082961318047,0.006319075218100442,-0.034837149584972325,-0.014311839004226687,-0.026320470969961596,0.024142910110462497,0.0032171092181183902,-0.004399722839890447,-0.0037783707153114378,-0.02123751995419959,0.0513745673032567,0.02711417851164601,-0.01939976343902766,-0.015890063420718345,0.04889944197625735,-0.018527362182740172,-0.005372843311805922,-0.013806840455934841,-0.00660874793412679,-0.007818995570071294,-0.005387870520774299,-0.0068566872342564564,0.07050969877153487,-0.018952917845773465,0.015179783953218591,0.02607490066063368,-0.0280263401802113,0.10647157364327192,-0.019603012909963635,0.015989931687606002,-0.01406378621082741,0.037233419692439394,0.013855771994989849,-0.029940528949578448,0.05933170858144222,0.0569888426519291,-0.025514471169523423,-0.03587024438670031,0.01011130155150858,-0.022424262189727547,-0.03559923593489488,-0.03341685215859085,-0.011392899169178584,0.002820901713550216,-0.015306598706736264,-0.022400402614232522,0.006546221510118373,-0.030952886274694738,-0.021864474336566454,-0.0014694475254617147,0.03543063378353226,-0.02697403610219473,0.013477965971461982,0.00030226284596685633,0.008600471487029537,-0.0008330344720151366,-0.011120142064628774,-0.01319364471099307,-0.022977689357689186,-0.015351734792033426,-0.02154689291852591,-0.028058422930545415,-0.006692084941315247,-0.014994640086361028,0.008708854995050391,-0.018921804143502783,0.009509998194346512,-0.01222468197856061,-0.0067079802672036825,-0.014627088833393543,0.028823525454787606,-0.03822401183286179,-0.018304647514033996,-0.01318637799944078,0.008983546984035386,-0.028548147154240498,-0.031298307226963036,-0.015543055217340746,-0.018623895685794572,-0.014067761928100908,-0.007175806763950314,0.0156935620704674,0.007750506937300288,-0.021957989660204274,-0.00811113845608886,-0.01885790537556968,-0.01330181153594838,-0.006509353501896222
leftIFOF,-0.032192861573735104,0.06317068979972326,-0.005977349300997046,0.057516544917665925,0.04555252873512911,-0.05938707260626338,-0.07124694878575036,-0.007727214478823414,0.028386246215651265,-0.03900349981334155,-0.03152020497916449,-0.06691745196939114,0.04713775748120941,-0.08423608859297746,0.05755820138096466,0.1084738708095406,0.009480669419625894,0.06714040529269387,0.13091691100987027,-0.05054711386056925,-0.026943374490134505,-0.025662526462408138,0.09096719645691068,0.12004057573465737,-0.05460372930933037,-0.015878928951991486,-0.06747298527048387,-0.07134116325542816,-0.06895075531053374,-0.004744757249137155,-0.06850410142575156,0.001156212297063876,-0.0041334908023470925,-0.022311978755976458,-0.03182087242905279,-0.029574542761869212,0.006556609534212925,0.0003842724177844057,-0.0938934245501053,0.005539247641459775,-0.09981077375625365,0.0002540151489411754,0.12048492683771952,-0.0024946420847922653,-0.08232909775957899,-0.07736239693371048,-0.0008482376924742406,-0.03518191832604806,-0.051131122655542115,0.04282169131645665,-0.04948332267307508,-0.08386035665223741,-0.0281322076962865,0.013701419085879284,0.01636220998585032,-0.02960313842444122,-0.02038129608917273,0.08650243871592052,0.006673325149513658,-0.005089490616788192,0.10625744250283514,-0.018959114677226656,0.08215943642474487,0.09011640098618329,0.04781019739581718,0.011952616132334034,-0.0675918830260309,0.021832515967206128,-0.036861003596018085,0.057633928159289576,0.01992345705597201,0.1008740008926169,0.0641030346061462,0.023053166415894277,0.0018579524652585211,-0.02106564691078007,-0.018419630671204158,-0.006511012572847897,-0.07875250743528794,0.009373562943183202,0.015025653137537506,0.025784208459718044,0.04323250478156167,-0.02538145753566173,-0.021360538037442773,-0.05074004201476557,-0.024532779938315548,-0.010997861260316506,-0.039678260612480046,0.04649221711156223,-0.007188665758925115,-0.006551507393331273,0.10142959195305501,-0.049053978031924156,0.03591513721231764,-0.049833728860375445,0.11181800470716136,0.0927157986338504,0.09000559581997897,0.04605916841363211,0.012230594688316238,-0.031568906784562485,-0.04729024909603278,-0.04311151170990625
leftILF,0.11075676297551276,-0.040835681024135456,0.06511964884629952,0.0636325954397548,0.02647628973028868,-0.10831605699891361,0.17179135902130513,0.1922164599171564,-0.07091489143528665,0.031137354914756086,0.05396204376210884,-0.08711519220458024,0.03337818953040801,-0.11939509053596362,-0.005991418775830855,-0.12575734354708634,0.1883297794923875,-0.0960607532747478,-0.06846116309792181,0.00395143075111503,-0.015197472070244054,-0.03875978693625921,-0.10189169550485792,-0.11835382957381907,0.03306707842324323,0.13418283003903364,-0.0010579551810348973,-0.06171264789404348,0.20295387338815402,0.05409301630234734,-0.12906961313334944,-0.07841680810514141,0.03479863084673658,0.05596196793143345,0.09908957961479371,0.11508917197784699,-0.05741300707518061,-0.1420226200155184,-0.08937912742605657,-0.0086382857668393,0.025492807882873683,-0.04904039327906423,-0.16792816725507362,0.061805007874459125,0.035876024125480764,0.23863690596509235,0.25996362131470097,-0.08150489412767717,0.08272607417274855,0.056173740098040915,-0.0816429453447535,-0.1225809469961195,0.1354032523671365,0.02504188735507843,-0.07637119019950349,0.04419654732586883,0.07445661289721461,0.003644815361764754,-0.06442590538524956,-0.06814752679502654,-0.10994581744950785,0.07868435486051675,-0.19433409599931284,0.08757501826366826,0.08916561904811048,0.001970024614931032,0.0647020915340887,0.06802426336882673,0.026765035007790115,-0.028192104614652456,-0.21792151340990132,0.008618482371648698,0.08261128469158907,-0.025421799775553856,-0.13361573602832183,-0.05942412995066421,0.031108262852347753,0.19635785770159395,0.22535665180746908,0.20695661119349668,0.10887523747723389,0.09881506926718513,-0.12318548194934115,0.1286474136575587,-0.061376773655174154,0.012475081468997826,0.001660110892908439,-0.04679359649515292,0.30542545540130966,-0.1382142127195771,-0.103814608145198,-0.03015124347794499,-0.05088168563525103,0.21964074119124152,0.008170640432837278,-0.07133521967515319,-0.07097349587913529,0.024345011973082524,-0.13446357435183895,-0.07126153187319796,-0.2287842283026059,-0.04138303782619316,-0.019435168000850798,-0.05300520316505105
