tract,102_novel_repetition_priming,105_cognitive_test_associated,107_judgment_verb_noun,109_emotional_process_neural,10_sad_mood_happy,111_force_chronic_tbi,113_gaze_saccade_eye,114_face_ffa_process,115_stop_pre sma_coherence,116_color_interference_stroop,118_prediction_coding_natural,11_sequence_practice_day,121_perceptual_perception_conscious,125_movement_execution_imitation,12_moral_people_violations,131_risk_alcohol_risk taking,132_word_concrete_process,134_stress_reactivity_laughter,142_game_intention_partner,143_task_one_performance,144_recall_ambiguous_ambiguity,146_music_musical_rhythm,147_regulation_emotion regulation_reappraisal,148_reward_motivation_anticipation,14_speech_left_deaf,151_phonological_lexical_pseudoword,152_action_observation_mirror,153_training_pre_post,157_object_loc_image,15_language_linguistic_left,161_imagery_imagine_mi,162_experience_awareness_thought,166_voice_prosody_speaker,167_virtual_navigation_deception,168_video_gesture_communication,169_scene_ppa_image,170_wm_wm task_maintenance,172_learning_learned_associated,173_change_signal_tinnitus,174_rule_shift_dimensional,175_value_analysis_subject,176_sleep_uncertainty_quality,17_outcome_gain_loss,180_writing_drawing_style,181_attention_attended_top,183_visual_fixation_orientation,184_representation_concept_knowledge,185_acupuncture_sham_stimulation,187_spatial_shape_visuospatial,188_social_attachment_social cognition,190_suppression_muscle_voluntary,191_motor_sma_m1,192_stimuli_stimulus_process,195_familiar_recollection_unfamiliar,197_context_information_schema,198_cue_cues_cued,199_naming_generation_production,19_neural_associated_relationship,20_selection_competing_facilitation,21_image_function_brain,23_decision_choice_value,26_verbal_creativity_intelligence,27_error_dacc_correct,2_picture_valence_arousal,35_preference_sexual_bias,36_response_difference_greater,37_hand_body_part,38_encoding_memory_retrieval,39_target_search_trial,41_rating_empathy_scale,43_intensity_touch_temperature,46_food_weight_eating,47_expression_facial expression_facial,48_self_process_self referential,49_working memory_back_task,54_implicit_explicit_fatigue,56_problem_arithmetic_subtraction,59_categories_category_animal,5_motion_sts_psts,62_semantic_meaning_related,64_external_internal_identity,66_evaluation_situation_appraisal,67_feedback_negative feedback_correct,68_sentence_comprehension_syntactic,69_switch_switching_preparation,6_sound_auditory_tone,70_performance_accuracy_task,71_strategy_strategies_reasoning,72_visual_process_fusiform gyrus,75_inhibition_response inhibition_nogo,79_congruent_conflict_incongruent,7_load_difficult_demand,83_fear_threat_avoidance,85_reading_letter_orthographic,86_red_blue_green,87_control_healthy_hyperactivity,88_trait_impulsivity_aggressive,91_salience_salient_salience network,92_pleasant_taste_unpleasant,94_negative_positive_positive negative,95_pain_painful_rating,97_activity_related_increased,98_dmn_pcc_default mode,9_pitch_vocal_vocalization
anterioFrontalCC,-0.11991868157375887,0.216561487418765,-0.04012890577957233,0.1992615386290058,0.18599505183743745,-0.1352196343081609,-0.1717135248009674,-0.09461827752034258,-0.029982196967682114,-0.08423994401880032,-0.13287858698147872,-0.23796306076965454,-0.07605010366002934,-0.26133305766408,0.30318511439864204,0.28074986489172066,-0.09925634365443675,0.2516459423420346,0.24292999713385252,-0.1623915154564514,0.08122692378363652,-0.036577754357700214,0.28225820552307507,0.21871381161117345,-0.25396717641705874,-0.2512176460046956,-0.22283986879775974,-0.10184930384537914,-0.24447289888836918,-0.17683829484826533,-0.24278307987611955,0.21965315239281596,-0.10419026176794881,-0.07586149695780757,-0.19403768348674938,-0.025951067229843704,-0.08240110621188103,-0.06931011610530492,-0.10149144499708916,0.026398994133546412,-0.07791958721884241,0.12254522412919742,0.28982296273416924,-0.04262025404117247,-0.13392059818198387,-0.23348731904571837,-0.04322287030654763,0.07373377269811798,-0.21630125786849355,0.2890116067030559,-0.2092655982581341,-0.22919165109014858,-0.24512555715048548,-0.006999799120201151,0.19870104245648718,-0.07490465385087809,-0.199078966288436,0.38590082596505865,0.021450892984340712,-0.15611026261475716,0.3024235426438933,0.0566304136859539,0.15125089974264602,0.18072809151442124,0.14133825412379786,-0.10327379179202258,-0.22412390237493304,0.051724451455766596,-0.13868305601059452,0.11282869550881593,-0.06581526479327414,0.11872179257673864,0.04019573482050216,0.382732450781666,-0.05617519877585712,0.07089938562483603,-0.11735353162036866,-0.129443247920735,-0.23351279349652454,-0.07204420923989259,0.03853842608311926,0.17689400609298137,0.06599716961117334,-0.0819566491216927,-0.06358694131704305,-0.19559196046522792,-0.09652793441717457,0.0032249055589746553,-0.20534139059752243,0.040822084225609304,-0.03440113982805798,-0.04058792089132055,0.17609071069369372,-0.26727366052467544,0.08736562155067716,-0.014101881179054589,0.26964406569050964,0.2292584063579689,0.05929639538707248,0.2861845840160036,0.016574418385606127,-0.044381042415514056,0.2794442514944403,-0.18450525659644842
forcepsMajor,0.06302180243829478,-0.09509176107175847,0.002730278125494914,-0.044731358004651944,-0.04833037558304209,-0.02325252669215466,0.23636476135914286,0.24289199693354824,0.015836053609208523,0.05773379093328595,0.06308256077284534,-0.042843908583353775,0.11181483265216902,-0.09028323669481854,-0.055005262527010386,-0.03116989308240865,0.050915718522085325,-0.12173684404911893,0.01575120446317995,0.06508669125734806,-0.0051724925326848544,-0.1833584944926023,-0.16764200392248615,-0.04941948298924539,-0.09981731931958575,-0.015007618336833114,0.03598025600250585,-0.049629497404722014,0.25263939273485103,-0.11374125299432823,-0.07271223459064349,-0.06910785176427643,-0.14197597770577589,0.3018515316267401,0.047234797943877964,0.2645037143226178,-0.01680249196128376,-0.06271020752640298,-0.03762599915945093,0.08347726292509823,0.007351204659621619,-0.04688099011728339,-0.02863669823086163,0.021920058531380137,0.2007198606581177,0.37455134428060494,0.05742325653657402,-0.12816988780489882,0.22790232833275006,-0.042215069603616956,-0.059071779188580656,-0.11491434831424989,0.19765484872793448,0.023119806681486,-0.015035662498923446,0.19291464896363625,0.02154478932788438,0.016925356017155137,-0.08613908846963728,0.003310111600887722,0.002585193454680556,0.046785656296184974,-0.1431597190848794,0.06258714279648712,0.08498450069783739,0.09225029020707778,0.0917535900047372,0.1100223014325983,0.12139215842985579,-0.1484697209670703,-0.22722788895536777,-0.010624507344338731,0.07227808083007194,-0.025771213348844666,-0.07157886506419109,-0.0946622785174922,0.05467116241502819,0.19649777455705153,0.2789086797280475,-0.03002880240622043,0.05783509159303816,0.042319077882164005,-0.013023756789107287,-0.07701050368805906,0.013241184458961322,-0.09217270120557766,0.04099652566603585,0.05975892771586159,0.43059928879603404,-0.09662207175487664,-0.0609832263186626,0.06261946948393592,-0.008210292843889877,0.15718752549728449,-0.02395328519359342,0.001023001211889997,0.0042195189989810925,0.07422278014982182,-0.16495462090673746,-0.07781264038459935,-0.2595480932776991,0.03550501587276131,0.011000036064449626,-0.14548718703985325
forcepsMinor,-0.10436257644345524,0.1847004830377022,-0.06529187320496332,0.13318377319647887,0.16220310743790903,-0.0912064829031616,-0.15675768564338569,-0.08585878346017443,-0.055812726125622256,-0.0981851902335172,-0.10702811376134878,-0.16985969060504194,-0.06533674664953337,-0.1928365087622486,0.25990565264786525,0.250156691599073,-0.09106439968456695,0.20879941064170796,0.2700297669975692,-0.09811134291040587,0.0920975852334657,0.010334411893431998,0.27122830162211614,0.12997937799798645,-0.19508787711187295,-0.21164580374399358,-0.17700670058053097,-0.07885716711491726,-0.1831353894156312,-0.13920672871362447,-0.1987101853666694,0.15566832410984008,-0.07125707234993729,-0.011980444057781724,-0.15698764848856167,-0.022495809777308192,-0.03922832493940429,-0.010151493345160214,-0.0747009404651666,0.06699560507430037,-0.07106064444974218,0.11290045021325273,0.16650243041454607,-0.07760734065770993,-0.09750364658758305,-0.19502910737210663,-0.02713798258800864,0.04393748188742581,-0.15915971769900328,0.21931858952794278,-0.16051812839664814,-0.18479827133143997,-0.17957224617052847,0.009195666428240549,0.1968985008927286,-0.07974102155533451,-0.15367292389371048,0.3006750105120536,0.02209075243580121,-0.13729716753710122,0.23502084342361132,0.14451899141155478,0.06162574766653814,0.11651819394175464,0.10647315780627757,-0.07393736063535371,-0.17213428741219752,0.07363235574401376,-0.11308447194098516,0.06711655350611938,-0.0921691139477123,0.11576052972435011,0.008126204154767407,0.2969843915643237,0.010654852065436949,0.11286250280356373,-0.07849412353544959,-0.12607585527086312,-0.1758005378657246,-0.08910891432121136,0.0897156191106338,0.1564874553176997,0.02808911281830679,-0.07997890094905136,-0.016281689066357064,-0.14651348894004207,-0.04579935482523603,0.016139251069546327,-0.15354566371868728,0.024554456012699163,-0.04060755829588097,-0.02621053666273021,0.09760387963714989,-0.23355104041279523,0.11698215463736313,0.05569390743873586,0.1893426939863171,0.13275146370365226,0.07524558754607859,0.18930430800615958,0.005652129420246612,-0.04506375068785918,0.20819734007450064,-0.15701273076674752
leftAnterioFrontoCerebellar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
leftArc,0.14392123209135382,-0.06509955259102568,0.3865684579395267,-0.02944962955852576,-0.0759698186843519,-0.12874798648150446,-0.12057019400107558,-0.013627408707117495,-0.055052351693501735,0.11672605416053808,0.042290816219933074,-0.009879797632297177,0.0016177712729063263,-0.026875567791653465,-0.04206556969830659,-0.12619096668603813,0.3975296722806155,-0.07646997594928591,-0.16196387331915701,0.13735758674174614,0.06342540319619491,0.018995336393804834,0.10528733469084745,-0.1331056658403891,0.2604875226742787,0.3941072287836823,0.06511189354335746,-0.07233765453931969,0.030595989846807895,0.4205888284059524,-0.024231260619720748,-0.03404026968374379,0.08937087743313464,-0.13810693545044073,0.06207716052275217,-0.03322071805344157,0.034448694661126385,0.07845141989438052,-0.13024270045053574,0.07842520859304451,-0.12881459965014333,-0.12945526528417192,-0.1233280293013552,0.007125276908753126,-0.1015560479928662,-0.1688687489658326,0.17595441477047566,-0.12656452733693968,-0.07975811908329783,-0.07889762343533259,-0.10356582563677233,-0.04294884211240941,-0.04197269818886747,0.07148678148479097,0.05883356417666824,-0.08676220890848951,0.3854323993330194,-0.0982242827051017,0.22519283998248985,-0.0707691508102382,-0.11488001101959625,0.13559103292170452,-0.08930179717405835,-0.08044005033901348,-0.19204435003730239,-0.09321403957854246,-0.09161743774330196,0.15551492672589398,-0.10640469272267913,-0.008453583087130262,-0.038150089083168484,-0.10961349822046025,-0.08169317850646626,-0.036751209068757,0.09112186199668386,0.031945820349717914,0.030531302908769417,0.038399029058784,-0.05250857515311357,0.3894790897467521,-0.0010965741749349217,0.016517603836048243,-0.09385737957212491,0.35836090896411815,0.0862041566816253,0.0551795750432976,-0.04641294747549002,0.08727707350217534,0.03326142036720492,-0.07549144481284584,0.06063656098043259,0.0680979253018866,-0.12118209022121125,0.31554812988385444,0.027409443274823534,0.10568852167882245,-0.1564482772299204,-0.09507994570112985,0.0640076032087439,-0.0178769222665122,-0.07697303870782611,-0.004947594667824454,-0.16966630909906838,0.06759051823033509
leftAslant,-0.016956500664705023,-0.1104079341530153,0.2571478518606952,-0.010302576081558766,-0.07285899472057596,0.000884140679625173,-0.07050625603829581,-0.06956925535157805,0.12449578515354358,0.053775565998062685,0.0027080869752149936,0.03478782719634296,-0.08618658535500884,0.009412830360327501,-0.0017178852363513458,-0.04014637470510269,0.18933403892943906,-0.021032797105358964,-0.04869223855170967,0.12155138776050389,0.020671752038223263,0.035913382056684734,0.2033942035865666,-0.061898643029099754,0.12695809135553424,0.17659984685252772,0.06817531514434773,-0.009657552505697053,-0.09137747572103574,0.22103357714228264,0.10049226657593421,0.10941691832063304,0.05174453249885732,0.005854049838038454,0.0008640775192722193,-0.07495088752748724,0.020022479466331854,0.04075004856961789,-0.11885346166771296,0.07464059788966924,-0.1759101362832476,-0.08575895168552224,-0.07746814199346871,0.06505999517256932,-0.07712303654562734,-0.12481944051025456,-0.03451093741643161,-0.04332444148614042,-0.03111821897068957,0.00766831632177297,-0.03330721289688859,0.04340841166850016,-0.08693445012348804,0.01189273099589397,0.013039147589391446,-0.0249918231763117,0.19121334837398446,-0.00821181404506874,0.11349765885783952,0.06358542150210839,-0.027185438877213038,0.11080859858563552,0.11966283297418825,-0.0378383990542958,-0.05357318191585707,-0.057777725419182115,-0.10734935211909727,0.05744333503630822,-0.10103722872953506,0.10258948629155533,-0.015551220416238083,-0.10425264843514946,-0.08506855426215917,0.07109415244470756,0.064456872981132,0.10944700493315505,0.03729987944804979,-0.03307366338314386,-0.10254752184851885,0.19315302345389304,0.027375026324470315,0.07143464387787253,-0.005502445097650502,0.19853359274446566,0.10496419121105083,-0.01080894924714352,0.04918017046142462,0.18597557340292104,-0.07374218299864782,0.03713848854350096,0.09046660787966157,0.0456538084803902,-0.06309045970906169,0.13489613586652952,0.10112994991308695,0.0002357296777109196,-0.08276793256652651,-0.054293061920469655,-0.011163057658911481,0.02405458514845035,0.01211701941410696,0.005498782801446145,-0.10043136459942013,0.02306314059431314
leftCST,-0.079711984100754,-0.015309225618143728,-0.07909134338288884,-0.20084258629912147,-0.054032613464347894,0.363112383963779,0.06730969732880362,-0.11554585288484619,0.04108506046081103,0.04528203647655187,0.02109818992890966,0.1922621846218776,-0.07170184134077107,0.2866059346242775,-0.11508982667440472,-0.03427807339104958,-0.1164088918327137,-0.050191321034376415,-0.07471642170447672,-0.03911119660002213,-0.10025813905294731,0.002567844921899999,-0.11478071040682379,-0.08915658529232129,-0.038814345993129336,-0.11500203371137495,0.1646829489717163,0.22624208641956337,0.004419902328356481,-0.12022609728034268,0.33559188957110886,-0.038942569235146426,-0.09103827440517843,-0.10516141352314738,-0.029972515613317534,-0.0344180008278907,-0.07936593803728581,-0.008358365145894015,0.25412085070206186,-0.1022752193565862,0.1902469551559037,0.03591180086210671,-0.10108540489083485,0.254010725049247,-0.0963901579270985,0.0878624147390058,-0.0827738514449996,0.16951339206647348,0.014467884689979522,-0.10699253378343139,0.2737796197049206,0.3228826204542369,-0.03498372551835967,-0.14839739197961588,0.03386143909861713,-0.04490716144064155,-0.01258825929046073,-0.1317752702613446,-0.05274671937892367,0.05245423583760113,-0.09570343826724288,-0.1078592048245235,-0.0627609424463212,-0.17200151181469664,-0.1051933035644336,-0.017071238592387933,0.2957625136041984,-0.17990046890394248,0.06641498871970368,-0.10199070964780059,0.09535047940827882,-0.031797629562178416,-0.06363006935724835,-0.1106707687015384,-0.07864912618493242,-0.014775853585475292,-0.11277399284145284,-0.12960560491143983,0.0011950338368400205,-0.11019733770447283,-0.09838753002061408,-0.13947366006115194,0.007830845922589426,-0.11072697647528108,-0.04949006738812539,-0.0642740209237738,-0.004825861012133746,-0.10154523032305257,-0.048484056041438794,-0.013603724232524792,-0.006600978469299522,-0.1335707770970723,-0.10369397094784859,-0.10631876732719539,-0.07932402599614627,0.0199300895817261,-0.050401306129519735,-0.09959249843463677,0.013079912313029072,-0.10624100349010838,0.0374135400599037,0.017069483605800757,-0.04648385626068812,-0.006848003582375481
leftContraMotorCerebellar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
leftIFOF,-0.021904549936090714,0.0005190278686585773,-0.012220448853066552,0.061833100438948366,-0.010079344070267556,-0.0504487557823885,-0.04997021729962459,-0.003307281102116612,0.04478724505360336,-0.025889810769635264,-0.006576634058744037,-0.04146004915442125,0.04150668236539529,-0.057913072158464335,0.033455990413440176,0.08784278189080244,0.014560038824289962,0.04214773136728725,0.123705656354694,-0.035599774955227,-0.007452005565323787,-0.026474487755654454,0.057265556434613264,0.11400447519434523,-0.04335740403574208,-0.011831256488736501,-0.04125992333013465,-0.05054653512998031,-0.05914750818748493,0.0030177144629127115,-0.04741916810448191,0.008916632308641252,0.005670772056200363,-0.0044565382695865895,-0.018159292329538133,-0.028793196808136284,0.007380535775126169,-0.0036076074002889535,-0.07826265828783371,-0.004149931059478556,-0.09586517721441383,-0.006228481810238057,0.12112988167129288,0.00667694417994057,-0.06240244933082047,-0.06332198829782357,-0.012810440654615547,-0.03933322138047698,-0.03163534716282881,0.0425983649939269,-0.02571755065165942,-0.05937273798016005,-0.00817746663074948,-0.012880705537013221,-0.004236661439166078,-0.013706756927631266,-0.013276863474194442,0.0751959393624933,-0.006430237721439506,0.015099274048045699,0.09182927045401441,-0.03653699135256699,0.09750095391550706,0.09917190341558137,0.04019731814449832,0.023647907650381123,-0.04714271276555318,0.02046971779265611,-0.02457803512918763,0.07155262270253257,0.02899150622856255,0.07647597792404061,0.04170035839707533,0.02076075506783002,0.012145079178820684,-0.05163502861112282,-0.01487008876758226,0.0065289000091766376,-0.060260780736509686,0.005574525458477417,0.010220693802788533,0.011610379312758767,0.06330868640787317,-0.02026428675546413,-0.012903918709175234,-0.03800748874891436,-0.031645015343995504,0.001410124975021828,-0.02867825330693946,0.06003487537522994,0.00898734355266667,0.014881628858819211,0.08761011188173333,-0.030655770955265758,0.027020526474049063,-0.050582568159351395,0.08366919210466593,0.07849323424930126,0.0719903216572446,0.03624127279328109,0.02715550925804224,-0.007617070041410963,-0.0466261855412131,-0.03076443230924018
leftILF,0.09521705249747668,-0.05841175965152124,0.06504075480584072,0.05364475728572951,0.019506512392759526,-0.0963592850654812,0.18329054569581885,0.19759228352996566,-0.05403879403418028,0.04313417759664769,0.05466642339344826,-0.0747696518206504,0.04143662928051691,-0.10601135617102035,-0.0062770880904501804,-0.11407144654830251,0.1651994147532176,-0.10945332730236215,-0.058266063029299944,0.006384126504273519,-0.025297757149691562,-0.04262820244454698,-0.09243053251648034,-0.10240752014364136,0.029433147346465974,0.11663996634524953,0.016594115888947353,-0.05812179864659706,0.20715750050556916,0.04052572583636108,-0.11422112761823068,-0.09185787981970042,0.02439712087956746,0.04766778862627987,0.1042568657451102,0.11407880440039128,-0.04747417596074151,-0.12011451909114003,-0.0835953407226363,-0.0022963655396608,0.01314115910351329,-0.04270727117310832,-0.14072835337032033,0.07313881308148129,0.04970206972183328,0.24544212323940298,0.23831396105664082,-0.07513930519794451,0.09414387653616628,0.056204611414110886,-0.07338030629496634,-0.10417084650718664,0.13756642705408703,0.006375292072628965,-0.07474233593436042,0.061997831751615745,0.06440068058076123,0.0001516402991383166,-0.06696411586925743,-0.04240749500648957,-0.08914221554154148,0.0753378000471221,-0.17722783806879205,0.09683231702490701,0.0975961416484348,0.009907327707508497,0.08094110971075986,0.044880810711401035,0.03403265681943369,-0.029743619993480994,-0.21142285845777545,0.008878485143684998,0.09101511527665784,-0.03078534409907835,-0.1230658771298088,-0.05105374744791969,0.03800077434568468,0.19447016597129715,0.2419922337637671,0.1800404933789372,0.10527013659639545,0.09405354085760663,-0.11372683436063451,0.11223978169394976,-0.057304875950214204,0.004557029364052153,0.005726807902715805,-0.05371043419506705,0.3067266257108483,-0.1126643135818865,-0.09241635657992565,-0.027658438705445022,-0.05702438299553963,0.21325998446930886,0.009128343541683232,-0.06694338498699351,-0.06479164420672234,0.015940896339600417,-0.12700436629515408,-0.07690288192237084,-0.21581797376761208,-0.033702810553479436,-0.03952442324487958,-0.05289324189192406
